"","Organism Group","Life Stage","Species","Estimated Maximum Ingestible Size (mm)","Level of Biological Organization","Exposure Route","Environment","Acute/Chronic","Exposure Duration (days)","translocatable","Effect Score","Effect Metric","Broad Endpoint Category","Specific Endpoint Category","Empirical Tissue Translocation ERM Conc. (log 10 particles/mL; 1-5,000 um)","Empirical Food Dilution ERM Conc. (log 10 particles/mL; 1-5,000 um)","PA_fraction","PE_fraction","PET_fraction","PLA_fraction","PMMA_fraction","PP_fraction","PS_fraction","PUR_fraction","PVC_fraction","fiber_fraction","fragment_fraction","sphere_fraction"
"616","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",8,"translocatable",3,"not_available","Fitness","Growth",-0.317456423079534,-0.677914220825225,0,1,0,0,0,0,0,0,0,0,0,1
"617","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"subcell","water","Marine","Acute",10,"non-translocatable",1,"not_available","Metabolism","Detoxification",1.01902327956775,-1.07951665288284,0,0,0,0,0,1,0,0,0,0,1,0
"618","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Fitness","Sex Hormones",0.825196813216299,-1.42092752555315,0,0,0,0,0,0,1,0,0,0,0,1
"619","Fish","Early","Danio rerio",0.4,"organism","water","Freshwater","Acute",20,"translocatable",3,"not_available","Fitness","Growth",3.55476334906748,1.90450562523854,0,1,0,0,0,0,0,0,0,0,1,0
"620","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Metabolism","Oxidative Stress",0.825196813216299,-1.42092752555315,0,0,0,0,0,0,1,0,0,0,0,1
"621","Crustacea","Adult","Gammarus pulex",1.44941288885944,"organism","water","Freshwater","Chronic",48,"translocatable",3,"not_available","Fitness","Development",4.85376040058848,3.18774020363815,0,0,1,0,0,0,0,0,0,0,1,0
"622","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Metabolism","Oxidative Stress",0.825196813216299,-1.42092752555315,0,0,0,0,0,0,1,0,0,0,0,1
"623","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",7,"translocatable",4,"LOEC","Fitness","Reproduction",2.81802324624991,2.09789822968446,0,1,0,0,0,0,0,0,0,0,1,0
"624","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"NOEC","Fitness","Sex Hormones",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"625","Crustacea","Early","Tigriopus japonicus",0.168691080099539,"organism","water","Marine","Acute",14,"translocatable",6,"NOEC","Fitness","Mortality",4.95613784265443,4.38561113998217,0,0,0,0,0,0,1,0,0,0,0,1
"626","Crustacea","Early","Artemia parthenogenetica",0.27,"organism","water","Marine","Acute",14,"translocatable",6,"not_available","Fitness","Mortality",0.127110082564168,-0.519698796303599,0,0,0,0,0,0,1,0,0,0,0,1
"627","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"subcell","water","Marine","Acute",10,"non-translocatable",1,"NOEC","Metabolism","Oxidative Stress",5.11399879279861,3.01545886034801,0,0,0,0,0,1,0,0,0,0,1,0
